,C,P
1984-07-01,0.3404759367422244,51.366908211034286
1984-08-01,0.69363273827702,51.53125017801532
1984-09-01,1.1293882862736713,51.695592144996354
1984-10-01,1.7726271762869565,51.85993411197738
1984-11-01,1.3316391702272878,52.024276078958415
1984-12-01,1.1414671134235213,52.18861804593945
1985-01-01,1.9021938485585148,52.35296001292048
1985-02-01,2.0449521698337665,52.51730197990151
1985-03-01,1.6723762009296814,52.681643946882545
1985-04-01,2.032427221016968,52.84598591386357
1985-05-01,2.0026063452162446,53.010327880844606
1985-06-01,2.7308071885948406,53.17466984782564
1985-07-01,3.419904368470389,53.33901181480667
1985-08-01,2.927247893913103,53.5033537817877
1985-09-01,2.9018929893032093,53.667695748768736
1985-10-01,3.292939284169471,53.83203771574976
1985-11-01,2.884644243652347,53.9963796827308
1985-12-01,2.696724431924697,54.16072164971183
1986-01-01,2.402295654445814,54.32506361669286
1986-02-01,3.512002744875552,54.48940558367389
1986-03-01,4.668480217157593,54.65374755065493
1986-04-01,3.7537754156626475,54.818089517635954
1986-05-01,4.916414715896171,54.98243148461699
1986-06-01,5.544449717200071,55.14677345159802
1986-07-01,5.579128224807875,55.31111541857905
1986-08-01,5.553963137718788,55.475457385560084
1986-09-01,5.443493934193396,55.63979935254112
1986-10-01,5.527433142502942,55.804141319522145
1986-11-01,5.571068400669851,55.96848328650318
1986-12-01,4.70789040954214,56.132825253484214
1987-01-01,6.103298309301103,56.29716722046524
1987-02-01,4.622780463339355,56.461509187446275
1987-03-01,4.806334114076982,56.62585115442731
1987-04-01,5.699771157221127,56.790193121408336
1987-05-01,5.450257998628295,56.95453508838937
1987-06-01,5.195695893617975,57.118877055370405
1987-07-01,4.278823386815188,57.28321902235143
1987-08-01,3.8943892860327294,57.447560989332466
1987-09-01,5.352456150401497,57.6119029563135
1987-10-01,3.2582128823113985,57.77624492329453
1987-11-01,3.288152773315832,57.94058689027556
1987-12-01,2.7067229323431636,58.104928857256596
1988-01-01,3.126004263305903,58.26927082423762
1988-02-01,2.837740806688732,58.43361279121866
1988-03-01,2.421729358428644,58.59795475819969
1988-04-01,2.2478658168151635,58.76229672518072
1988-05-01,2.3108476524828987,58.92663869216175
1988-06-01,1.999472673235323,59.09098065914279
1988-07-01,1.1875271835930958,59.255322626123814
1988-08-01,1.3806838049112338,59.41966459310485
1988-09-01,1.8181066294036683,59.58400656008588
1988-10-01,0.6723505523024982,59.74834852706691
1988-11-01,1.1047480176221829,59.91269049404794
1988-12-01,0.7077850670807592,60.07703246102898
